Counter 2012;Counter 2021;Type;Country;Name
2;;uni;USA;Johns Hopkins University
2;;gov;USA;NSF
1;;gov;Spain;Talentia Fellowships Programme of the Andalusian Regional Ministry of Economy, Innovation and Science
1;;corp;Singapore;Institute for Infocomm Research, Agency for Science, Technology and Research, Singapore
1;;corp;China;Microsoft Research Asia, P.R. China
1;;uni;Singapore;Nanyang Technological University, Singapore
1;;corp;Singapore;Singapore Eye Research Institute, Singapore
1;;corp;Singapore;National University of Singapore, Singapore
1;;corp;Singapore;Singapore A*STAR SERC
2;;uni;China;Nanjing University of Aeronautics and Astronautics, Nanjing 210016, China
3;;uni;USA;University of North Carolina at Chapel Hill
7;;gov;USA;NIH
3;;gov;China;"NSFC, National Natural Science Foundation of China
(60971133) and the China Scholarship Council"
1;;uni;China;CQKJ 
1;;other;Belgium;Medical Imaging Research Center, UZ Leuven, Belgium
1;;uni;Belgium;IBBT-KU Leuven Future Health Department, Belgium
1;;corp;Belgium;icoMetrix NV, Leuven, Belgium
1;;gov;Belgium;IWT - TBM project 070717 and Research Foundation - Flanders (FWO)
1;;uni;USA;University of Utah
1;;corp;USA;ADNI
2;;uni;USA;the University of California
2;;uni;Canada; Simon Fraser University, Canada
1;;uni;Canada;University of British Columbia, Canada
1;;corp;Canada;Cancer Control Research Program, BC Cancer Research Center, Canada
1;;gov;Canada;"Canadian NSERC, CIHR-Skin Research
Training Center and a grant from the Canadian Health Research Project (CHRP)"
1;;uni;USA;Georgia Institute of Technology, Atlanta
1;;uni;USA;University of Pittsburgh School of Medicine, Pittsburgh
1;;uni;USA; University of Pittsburgh, Pittsburgh
1;;corp;USA;Intel Science and Technology Center on Embedded Computing, Pittsburgh
1;;corp;USA;The Eye and Ear Foundation (Pittsburgh, PA)
1;;corp;USA;Research to Prevent Blindness, Inc. (New York, NY)
1;;uni;China; Beijing Inst. of Tech., Beijing, China
1;;uni;USA; Arizona State University, Tempe, USA
1;;hosp;China; Beijing You’An Hospital, Beijing, China
1;;uni;USA;UCLA School of Medicine, Los Angeles, CA, USA
2;;uni;UK;University of Oxford, U.K.
1;;corp;Russia;Yandex, Moscow, Russia
1;;other;UK;RCUK Centre for Doctoral Training in Healthcare Innovation
1;;uni;UK;Imperial College London, London, UK
1;;uni;UK; King’s College London, London, UK
1;;gov;EU;European Commission
4;;uni;USA;University of Pennsylvania
1;;corp;UK;Microsoft Research, Cambridge, CB3 0FB, UK
2;;uni;USA;Rutgers University,
2;;hosp;USA; Children’s Hospital of Philadelphia
2;;uni;China;Shanghai Jiao Tong University, China
1;;uni;USA;UC Berkeley 
1;;uni;USA;UC San Francisco Medical School 
1;;hosp;USA;San Francisco General Hospital
1;;hosp;Uganda;Mulago Hospital of Kampala, Uganda
1;;uni;Netherlands;Delft University of Technology
1;;other;Netherlands;Atrium Medical Center, Heerlen
1;;uni;Turkey;Suleyman Demirel University
1;;gov;Turkey;TUBITAK-BIDEB 2219 program.
1;;uni;Austria;University of Salzburg
1;;hosp;Austria;St.Anna Children’s Hospital, Dept. Pediatrics Medical University, Vienna
1;;gov;Austria;Austrian Science Fund
1;;uni;USA;Missouri University of Science and Technology
2;;uni;USA;Carnegie Mellon University
1;;uni;Australia;University of Sydney
1;;uni;USA;Michigan State Unversity
1;;uni;Colombia;Universidad Nacional de Colombia
1;;hosp;USA;Children Hospital of L.A., Department of Pathology Lab Medicine, Los Angeles, CA, USA
1;;hosp;USA;St. Jude Children’s Research Hospital
1;;uni;USA;Penn State College of Medicine
1;;other;Germany;Institute of Neuroscience and Medicine (INM-1, INM-4), Research Center J¨ulich,Germany
1;;uni;Germany;University of Wuppertal
1;;uni;Germany;RWTH Aachen University
1;;uni;USA;Stanford University
1;;corp;Germany;Siemens AG, Corporate Technology, Erlangen, Germany
1;;hosp;Germany;University Hospital Erlangen
1;;corp;USA;Siemens Corporation, Corporate Research and Technology, Princeton, NJ, USA
1;;uni;USA;Duke University Medical Center
1;;uni;Canada;McGill University
1;;corp;Canada;NeuroRx Research, Montreal, Canada
1;;uni;USA;The University of Georgia
1;;hosp;USA;Piedmont Heart Institute
1;;hosp;USA;Stony Brook University Medical Center
1;;uni;USA;Columbia University
1;;corp;USA;Intuitive Surgical, Inc, Sunnyvale CA USA
1;;uni;France;University of Picardie Jules Verne
1;;uni;Iran;Shiraz University of Technology
2;;uni;France;University Paris XI
1;;uni;Germany;University of Luebeck
1;;hosp;Germany;University Hospital Schleswig-Holstein
1;;uni;UK;University of Bristol
1;;uni;Germany;Helmholtz Zentrum M¨unchen
1;;uni;Germany;Technische Universit¨at M¨unchen
1;;uni;Germany;Ludwig-Maximilians-University of Munich
1;;corp;USA;IBM Almaden Research Center, San Jose, CA, USA
1;;hosp;USA;Kaiser San Francisco Medical Center, San Francisco, CA, USA
